Time_Start,Day_Of_Year,Latitude,Longitude,GPS_Altitude,Pressure_Altitude,Ground_Speed,True_Air_Speed,Mach_Number,Vertical_Speed,True_Heading,Track_Angle,Drift_Angle,Pitch_Angle,Roll_Angle,Static_Air_Temp,Potential_Temp,Total_Air_Temp,Static_Pressure,Cabin_Pressure,Wind_Speed,Wind_Direction,Solar_Zenith_Angle,Aircraft_Sun_Elevation,Sun_Azimuth,Aircraft_Sun_Azimuth
43461,38,32.0094994,-81.1288465,8.1,230,0,20.6,0.031,0,270.91,270.9,0,4.97,0.01,10.3,283.1,10.4,1004.9,1005.9,10.6,270.9,93,2,106.3,-164.5
43462,38,32.0094995,-81.1288466,8.1,230,0,20.6,0.031,0,270.92,270.9,0,4.97,0,10.8,283.6,10.8,1004.9,997.9,10.6,270.9,93,2,106.3,-164.5
43463,38,32.0094985,-81.1288456,8,230,0.3,20.6,0.031,0,270.92,270.9,0,5.02,0.03,12,284.8,12.1,1004.9,996.7,10.3,270.9,93,2,106.3,-164.5
43464,38,32.0094987,-81.1288371,8,230,1.5,20.99,0.032,0,270.91,270.9,0,5.17,0.02,12.9,285.7,13,1004.9,998.2,9.3,270.9,93,2.2,106.3,-164.5
43465,38,32.0094989,-81.1288097,8,230,3.9,24.49,0.035,0,270.87,270.9,0,5.42,0.04,13,285.8,13,1004.8,1000.5,8.7,270.9,93,2.4,106.3,-164.5
43466,38,32.0094991,-81.1287488,8,232,7.8,33.63,0.051,0,270.79,270.8,0,5.28,0.05,14.2,287,14.3,1004.8,1005.8,9.5,270.8,93,2.3,106.3,-164.4
43467,38,32.0094994,-81.1289842,8.1,230,12.5,41.02,0.062,0,271.1,271.1,0,4.97,0.09,15.4,288.2,15.6,1004.8,1007,8.6,271.1,93,2,106.3,-164.7
43468,38,32.0095007,-81.1291695,8.2,230,17.3,51.12,0.077,0,271.26,271.3,0,5.03,-0.12,15.9,288.7,16.2,1004.8,1006.9,9,271.2,93,2.1,106.3,-164.8
43469,38,32.0095025,-81.1293037,8.3,227,22.2,54.82,0.083,0,271.57,271.6,0,4.94,-0.73,15.3,288,15.7,1004.9,1007.3,6,271.5,93,2.2,106.3,-165.1
43470,38,32.0095061,-81.1297297,8.4,227,27,66.09,0.1,0.1,271.97,271.2,-0.5,4.94,0.54,15,287.7,15.6,1005,1006.5,7,274.9,93,1.9,106.3,-165.6
