Time_Start,Day_Of_Year,Latitude,Longitude,GPS_Altitude,Pressure_Altitude,Radar_Altitude,Ground_Speed,True_Air_Speed,Indicated_Air_Speed,Mach_Number,Vertical_Speed,True_Heading,Track_Angle,Drift_Angle,Pitch_Angle,Roll_Angle,Static_Air_Temp,Potential_Temp,Dew_Point,Total_Air_Temp,IR_Surf_Temp,Static_Pressure,Cabin_Pressure,Wind_Speed,Wind_Direction,U,V,Solar_Zenith_Angle,Aircraft_Sun_Elevation,Sun_Azimuth,Aircraft_Sun_Azimuth,Mixing_Ratio,Part_Press_Water_Vapor,Sat_Vapor_Press_H2O,Sat_Vapor_Press_Ice,Relative_Humidity
41454,32,37.9273904,-75.4706293,11.8,-26,2,0.02,-8888,-8888,-8888,0,33.38,86.99,53.6,-1.99,0.22,5.8,277.83,4.84,5.8,-9999,1014.2,1018.9,-9999,-9999,-9999,-9999,97.7,-6.8,105.8,72.3,5.39,8.71,9.32,9.87,93.52
41455,32,37.927391,-75.4706299,11.8,-4,1.5,0.06,-8888,-8888,-8888,0,33.36,305.75,-87.6,-1.97,0.23,5.8,277.89,4.96,5.8,-9999,1013.4,1019.2,-9999,-9999,-9999,-9999,97.7,-6.8,105.8,72.3,5.44,8.79,9.32,9.87,94.31
41456,32,37.9273916,-75.4706299,11.7,-7,3.1,0.05,-8888,-8888,-8888,-0.1,33.37,122.12,88.8,-2,0.18,5.8,277.88,4.97,5.8,-9999,1013.51,1019.5,-9999,-9999,-9999,-9999,97.7,-6.8,105.8,72.3,5.44,8.79,9.31,9.86,94.42
41457,32,37.9273922,-75.4706305,11.7,-7,2.9,0.03,-8888,-8888,-8888,-0.1,33.37,132.51,99.1,-2.04,0.2,5.8,277.88,4.97,5.8,-9999,1013.51,1019.5,-9999,-9999,-9999,-9999,97.7,-6.8,105.8,72.2,5.44,8.79,9.32,9.87,94.38
41458,32,37.9273927,-75.4706305,11.7,-44,3.2,0.04,-8888,-8888,-8888,0,33.37,322.13,-71.2,-2.02,0.22,5.8,277.78,4.96,5.8,-9999,1014.86,1019.7,-9999,-9999,-9999,-9999,97.7,-6.8,105.8,72.2,5.43,8.79,9.32,9.87,94.31
41459,32,37.9273927,-75.4706305,11.7,15,3.2,0.01,-8888,-8888,-8888,0,33.38,308.66,-84.7,-2.03,0.17,5.8,277.95,4.95,5.8,-9999,1012.7,1019.8,-9999,-9999,-9999,-9999,97.7,-6.8,105.8,72.3,5.44,8.78,9.32,9.87,94.25
41460,32,37.9273933,-75.470631,11.7,-39,3.1,0.02,-8888,-8888,-8888,0,33.39,130.1,96.7,-2.04,0.19,5.75,277.74,4.93,5.8,-9999,1014.68,1020,-9999,-9999,-9999,-9999,97.7,-6.8,105.8,72.3,5.42,8.77,9.28,9.83,94.47
41461,32,37.9273945,-75.4706305,11.7,5,2.3,0.75,-8888,-8888,-8888,-0.1,33.42,34.3,0.9,-1.78,0.23,5.78,277.9,4.91,5.8,-9999,1013.07,1019.8,-9999,-9999,-9999,-9999,97.7,-6.8,105.8,72.3,5.42,8.76,9.31,9.85,94.1
41462,32,37.9274111,-75.4706167,11.6,9,2,3.65,-8888,-8888,-8888,0,33.35,33.83,0.5,-1.7,0.27,5.8,277.93,4.89,5.8,-9999,1012.92,1019.8,-9999,-9999,-9999,-9999,97.7,-6.8,105.8,72.3,5.42,8.75,9.32,9.87,93.87
41463,32,37.92745,-75.470584,11.6,-15,1.4,6.74,-8888,-8888,-8888,0,33.52,33.67,0.2,-1.57,0.33,5.75,277.81,4.91,5.8,-9999,1013.8,1020,-9999,-9999,-9999,-9999,97.7,-6.8,105.8,72.2,5.42,8.76,9.28,9.83,94.33
41464,32,37.9275125,-75.4705313,11.7,-16,1.1,9.83,-8888,32.3,-8888,0.1,33.66,33.75,0.1,-1.55,0.19,5.66,277.71,4.99,5.75,-9999,1013.84,1019.8,-9999,-9999,-9999,-9999,97.7,-6.8,105.8,72.1,5.45,8.81,9.23,9.76,95.46
41465,32,37.9275979,-75.4704591,11.7,-18,1.7,12.89,-8888,-8888,-8888,0,33.53,34.12,0.6,-1.52,0.23,5.65,277.7,4.99,5.75,-9999,1013.91,1020.2,-9999,-9999,-9999,-9999,97.7,-6.9,105.8,72.1,5.45,8.81,9.22,9.75,95.52
41466,32,37.9277056,-75.4703675,11.7,-11,2.4,15.88,-8888,36.4,-8888,0,33.22,33.74,0.5,-1.67,0.34,5.62,277.69,5.03,5.75,-9999,1013.65,1019.9,-9999,-9999,-9999,-9999,97.7,-6.9,105.8,72.4,5.47,8.83,9.2,9.73,95.99
41467,32,37.9278362,-75.470258,11.7,-21,1.4,18.85,-8888,34.1,-8888,0,33.12,33.65,0.5,-1.52,0.32,5.55,277.59,5.05,5.75,-9999,1014.02,1020.2,-9999,-9999,-9999,-9999,97.7,-6.8,105.8,72.5,5.47,8.84,9.16,9.67,96.57
41468,32,37.9279892,-75.4701308,11.7,-21,1.2,21.79,-8888,45.3,-8888,0,32.61,33.31,0.7,-1.69,0.35,5.5,277.54,5.05,5.75,-9999,1014.02,1019.8,-9999,-9999,-9999,-9999,97.7,-6.8,105.8,72.8,5.47,8.84,9.13,9.64,96.91
41469,32,37.9281651,-75.469987,11.8,-13,2.7,24.66,-8888,50.6,-8888,0.1,32.16,32.66,0.5,-2.06,0.24,5.48,277.54,5.06,5.75,-9999,1013.73,1019.8,-9999,-9999,-9999,-9999,97.7,-6.7,105.8,73.4,5.48,8.85,9.11,9.62,97.13
41470,32,37.9283639,-75.4698283,11.7,-26,1.2,27.49,-8888,59.5,-8888,0.2,31.93,32.17,0.2,-1.62,0.54,5.35,277.38,5.09,5.8,-9999,1014.2,1019.9,-9999,-9999,-9999,-9999,97.7,-6.7,105.8,73.7,5.49,8.87,9.03,9.52,98.2
41471,32,37.9285845,-75.469653,11.7,-32,1.7,30.32,-8888,65.8,-8888,0,31.85,32.18,0.3,-1.76,0.47,5.3,277.31,5.09,5.8,-9999,1014.42,1019.9,-9999,-9999,-9999,-9999,97.7,-6.5,105.8,73.7,5.49,8.87,9,9.48,98.55
41472,32,37.9288269,-75.4694616,11.7,-31,2.3,33.09,-8888,64.7,-8888,0,31.98,32.17,0.2,-1.91,0.45,5.26,277.28,5.07,5.85,-9999,1014.39,1019.8,-9999,-9999,-9999,-9999,97.7,-6.5,105.8,73.8,5.48,8.86,8.98,9.46,98.68
41473,32,37.9290893,-75.4692513,11.8,-21,2,35.8,-8888,74.4,-8888,0.1,31.59,32.13,0.5,-1.98,0.51,5.28,277.32,5.06,5.9,-9999,1014.02,1019.8,-9999,-9999,-9999,-9999,97.7,-6.5,105.8,73.9,5.48,8.85,8.98,9.47,98.51
41474,32,37.9293729,-75.4690279,11.9,-46,2,38.43,72.38,77.1,-8888,0.2,31.85,31.88,0,-1.99,0.48,5.19,277.16,5.06,6,-9999,1014.94,1019.8,1.2,213,0.7,1,97.7,-6.5,105.8,74.1,5.47,8.85,8.93,9.4,99.1
41475,32,37.929676,-75.4687873,12.1,-37,2.3,41.03,77.62,83.2,-8888,0.2,31.69,32.15,0.5,-2.03,0.43,5.18,277.18,5.05,6.05,-9999,1014.61,1019.8,1.1,228.1,0.8,0.7,97.6,-6.5,105.9,73.8,5.47,8.84,8.92,9.39,99.11
41476,32,37.9299991,-75.4685323,12.3,-34,2.6,43.57,82.75,86.5,-8888,0.2,31.89,32.08,0.2,-2.1,0.43,5.13,277.14,5.05,6.15,-9999,1014.5,1020,1,220.2,0.6,0.8,97.6,-6.5,105.9,73.9,5.47,8.84,8.89,9.36,99.44
41477,32,37.9303412,-75.4682601,12.5,-31,2.4,46.08,87.38,92.8,-8888,0.1,31.53,32.02,0.5,-2.29,0.41,5.17,277.19,5.05,6.26,-9999,1014.39,1019.6,1.2,230.8,0.9,0.8,97.6,-6.4,105.9,74,5.47,8.84,8.92,9.39,99.13
41478,32,37.9307033,-75.4679754,12.6,-50,2.3,48.54,91.88,98.1,-8888,0.1,31.99,32.03,0,-2.41,0.38,5.16,277.12,5.03,6.39,-9999,1015.08,1020.1,1.3,213.3,0.7,1.1,97.6,-6.4,105.9,74,5.46,8.83,8.91,9.38,99.07
41479,32,37.9310826,-75.4676734,12.7,-28,2.4,50.97,97.31,104.6,-8888,-0.1,31.67,32.24,0.6,-2.95,0.4,5.18,277.21,5.06,6.51,-9999,1014.28,1020.1,1,241,0.9,0.5,97.6,-6.3,105.9,73.7,5.48,8.85,8.93,9.4,99.14
41480,32,37.9314808,-75.4673589,12.6,-25,2.9,53.3,102.44,107.4,-8888,0.1,31.81,31.92,0.1,-2.76,0.23,5.16,277.2,5.06,6.64,-9999,1014.17,1019.9,-8888,-9999,-9999,-9999,97.6,-6.3,105.9,74,5.48,8.85,8.92,9.38,99.27
41481,32,37.9318973,-75.4670288,12.6,-41,2.7,55.69,107.5,113.1,-8888,-0.1,32.04,32.26,0.2,-3.04,0.09,5.19,277.18,5.03,6.82,-9999,1014.75,1020.2,-8888,-9999,-9999,-9999,97.6,-6.5,105.9,73.5,5.46,8.83,8.93,9.4,98.89
41482,32,37.9323311,-75.4666845,12.5,-25,2.9,57.97,111.88,117.2,-8888,0.1,32.06,32.24,0.2,-2.95,0.15,5.19,277.23,5.03,6.93,-9999,1014.17,1020.2,-8888,-9999,-9999,-9999,97.6,-6.5,105.9,73.6,5.46,8.83,8.93,9.41,98.86
41483,32,37.9327814,-75.4663247,12.5,-23,3.1,60.24,115.81,121.1,-8888,0,32.31,32.48,0.2,-2.99,0.21,5.16,277.2,5.02,7.06,-9999,1014.09,1020.2,-8888,-9999,-9999,-9999,97.6,-6.5,105.9,73.4,5.46,8.83,8.91,9.38,99.03
